TABLE NO.  2
 ETA1        ETA2        ETA3        ETA4        ETA5
  0.0000E+00 -7.8818E-01 -5.5385E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8818E-01 -5.5385E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8818E-01 -5.5385E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8818E-01 -5.5385E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8818E-01 -5.5385E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8818E-01 -5.5385E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0309E-01 -1.6008E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0309E-01 -1.6008E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0309E-01 -1.6008E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0309E-01 -1.6008E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0309E-01 -1.6008E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0309E-01 -1.6008E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0309E-01 -1.6008E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.0247E-02  1.0295E+00  0.0000E+00  0.0000E+00
  0.0000E+00 -7.0247E-02  1.0295E+00  0.0000E+00  0.0000E+00
  0.0000E+00 -7.0247E-02  1.0295E+00  0.0000E+00  0.0000E+00
  0.0000E+00 -7.0247E-02  1.0295E+00  0.0000E+00  0.0000E+00
  0.0000E+00 -7.0247E-02  1.0295E+00  0.0000E+00  0.0000E+00
  0.0000E+00 -7.0247E-02  1.0295E+00  0.0000E+00  0.0000E+00
  0.0000E+00  2.7931E-01  6.5989E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.7931E-01  6.5989E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.7931E-01  6.5989E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.7931E-01  6.5989E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.7931E-01  6.5989E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8556E-01 -1.8826E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8556E-01 -1.8826E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8556E-01 -1.8826E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8556E-01 -1.8826E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8556E-01 -1.8826E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8556E-01 -1.8826E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8556E-01 -1.8826E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8556E-01 -1.8826E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6222E-01  2.3029E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6222E-01  2.3029E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6222E-01  2.3029E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6222E-01  2.3029E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6222E-01  2.3029E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6222E-01  2.3029E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.9691E-01  7.4127E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.9691E-01  7.4127E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.9691E-01  7.4127E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.9691E-01  7.4127E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.9691E-01  7.4127E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.1310E-01 -1.0140E+00  0.0000E+00  0.0000E+00
  0.0000E+00  1.1310E-01 -1.0140E+00  0.0000E+00  0.0000E+00
  0.0000E+00  1.1310E-01 -1.0140E+00  0.0000E+00  0.0000E+00
  0.0000E+00  1.1310E-01 -1.0140E+00  0.0000E+00  0.0000E+00
  0.0000E+00  1.1310E-01 -1.0140E+00  0.0000E+00  0.0000E+00
  0.0000E+00  1.1310E-01 -1.0140E+00  0.0000E+00  0.0000E+00
  0.0000E+00  1.1310E-01 -1.0140E+00  0.0000E+00  0.0000E+00
  0.0000E+00  1.1310E-01 -1.0140E+00  0.0000E+00  0.0000E+00
  0.0000E+00  1.1310E-01 -1.0140E+00  0.0000E+00  0.0000E+00
  0.0000E+00  1.1310E-01 -1.0140E+00  0.0000E+00  0.0000E+00
