TABLE NO.  2
 ETA1        ETA2        ETA3
 -2.1769E-03 -7.9729E-01 -3.4253E-01
 -2.1769E-03 -7.9729E-01 -3.4253E-01
 -2.1769E-03 -7.9729E-01 -3.4253E-01
 -2.1769E-03 -7.9729E-01 -3.4253E-01
 -2.1769E-03 -7.9729E-01 -3.4253E-01
 -2.1769E-03 -7.9729E-01 -3.4253E-01
 -1.5727E-02  2.5022E-01 -7.2676E-02
 -1.5727E-02  2.5022E-01 -7.2676E-02
 -1.5727E-02  2.5022E-01 -7.2676E-02
 -1.5727E-02  2.5022E-01 -7.2676E-02
 -1.5727E-02  2.5022E-01 -7.2676E-02
 -1.5727E-02  2.5022E-01 -7.2676E-02
 -1.5727E-02  2.5022E-01 -7.2676E-02
  1.4341E-02  4.5408E-02  3.7305E-01
  1.4341E-02  4.5408E-02  3.7305E-01
  1.4341E-02  4.5408E-02  3.7305E-01
  1.4341E-02  4.5408E-02  3.7305E-01
  1.4341E-02  4.5408E-02  3.7305E-01
  1.4341E-02  4.5408E-02  3.7305E-01
 -1.2412E-02  2.2974E-01  1.6494E-01
 -1.2412E-02  2.2974E-01  1.6494E-01
 -1.2412E-02  2.2974E-01  1.6494E-01
 -1.2412E-02  2.2974E-01  1.6494E-01
 -1.2412E-02  2.2974E-01  1.6494E-01
 -1.4151E-02  1.0724E-01 -9.8882E-03
 -1.4151E-02  1.0724E-01 -9.8882E-03
 -1.4151E-02  1.0724E-01 -9.8882E-03
 -1.4151E-02  1.0724E-01 -9.8882E-03
 -1.4151E-02  1.0724E-01 -9.8882E-03
 -1.4151E-02  1.0724E-01 -9.8882E-03
 -1.4151E-02  1.0724E-01 -9.8882E-03
 -1.4151E-02  1.0724E-01 -9.8882E-03
 -1.9656E-02  1.3965E-01  1.1181E-01
 -1.9656E-02  1.3965E-01  1.1181E-01
 -1.9656E-02  1.3965E-01  1.1181E-01
 -1.9656E-02  1.3965E-01  1.1181E-01
 -1.9656E-02  1.3965E-01  1.1181E-01
 -1.9656E-02  1.3965E-01  1.1181E-01
 -9.0811E-04  1.7158E-01  2.2728E-01
 -9.0811E-04  1.7158E-01  2.2728E-01
 -9.0811E-04  1.7158E-01  2.2728E-01
 -9.0811E-04  1.7158E-01  2.2728E-01
 -9.0811E-04  1.7158E-01  2.2728E-01
 -9.1400E-03  1.0857E-01 -5.0132E-01
 -9.1400E-03  1.0857E-01 -5.0132E-01
 -9.1400E-03  1.0857E-01 -5.0132E-01
 -9.1400E-03  1.0857E-01 -5.0132E-01
 -9.1400E-03  1.0857E-01 -5.0132E-01
 -9.1400E-03  1.0857E-01 -5.0132E-01
 -9.1400E-03  1.0857E-01 -5.0132E-01
 -9.1400E-03  1.0857E-01 -5.0132E-01
 -9.1400E-03  1.0857E-01 -5.0132E-01
 -9.1400E-03  1.0857E-01 -5.0132E-01
 -7.6874E-03 -1.4863E-01 -1.1533E-01
 -7.6874E-03 -1.4863E-01 -1.1533E-01
 -7.6874E-03 -1.4863E-01 -1.1533E-01
 -7.6874E-03 -1.4863E-01 -1.1533E-01
 -7.6874E-03 -1.4863E-01 -1.1533E-01
 -7.6874E-03 -1.4863E-01 -1.1533E-01
 -7.6874E-03 -1.4863E-01 -1.1533E-01
 -5.6702E-03  3.3055E-01  1.9129E-01
 -5.6702E-03  3.3055E-01  1.9129E-01
 -5.6702E-03  3.3055E-01  1.9129E-01
 -5.6702E-03  3.3055E-01  1.9129E-01
 -5.6702E-03  3.3055E-01  1.9129E-01
  8.0477E-03 -1.6493E-01  1.7574E-01
  8.0477E-03 -1.6493E-01  1.7574E-01
  8.0477E-03 -1.6493E-01  1.7574E-01
  8.0477E-03 -1.6493E-01  1.7574E-01
  8.0477E-03 -1.6493E-01  1.7574E-01
  8.0477E-03 -1.6493E-01  1.7574E-01
  1.1178E-02 -5.0461E-01  4.8210E-04
  1.1178E-02 -5.0461E-01  4.8210E-04
  1.1178E-02 -5.0461E-01  4.8210E-04
  1.1178E-02 -5.0461E-01  4.8210E-04
  1.1178E-02 -5.0461E-01  4.8210E-04
  1.1178E-02 -5.0461E-01  4.8210E-04
 -1.7210E-03  3.7511E-01 -1.4693E-01
 -1.7210E-03  3.7511E-01 -1.4693E-01
 -1.7210E-03  3.7511E-01 -1.4693E-01
 -1.7210E-03  3.7511E-01 -1.4693E-01
 -1.7210E-03  3.7511E-01 -1.4693E-01
 -1.7210E-03  3.7511E-01 -1.4693E-01
 -1.7210E-03  3.7511E-01 -1.4693E-01
 -1.7210E-03  3.7511E-01 -1.4693E-01
 -5.2583E-03  2.2746E-01  2.6131E-02
 -5.2583E-03  2.2746E-01  2.6131E-02
 -5.2583E-03  2.2746E-01  2.6131E-02
 -5.2583E-03  2.2746E-01  2.6131E-02
 -5.2583E-03  2.2746E-01  2.6131E-02
 -5.2583E-03  2.2746E-01  2.6131E-02
  1.2695E-02 -5.9368E-01 -1.3298E-01
  1.2695E-02 -5.9368E-01 -1.3298E-01
  1.2695E-02 -5.9368E-01 -1.3298E-01
  1.2695E-02 -5.9368E-01 -1.3298E-01
  1.2695E-02 -5.9368E-01 -1.3298E-01
  1.2695E-02 -5.9368E-01 -1.3298E-01
 -1.8914E-03  3.0447E-01  7.0979E-02
 -1.8914E-03  3.0447E-01  7.0979E-02
 -1.8914E-03  3.0447E-01  7.0979E-02
 -1.8914E-03  3.0447E-01  7.0979E-02
  3.5812E-03 -1.3034E-03  2.5974E-01
  3.5812E-03 -1.3034E-03  2.5974E-01
  3.5812E-03 -1.3034E-03  2.5974E-01
  3.5812E-03 -1.3034E-03  2.5974E-01
  3.5812E-03 -1.3034E-03  2.5974E-01
  3.5812E-03 -1.3034E-03  2.5974E-01
  5.3452E-03  2.3723E-01  5.4755E-02
  5.3452E-03  2.3723E-01  5.4755E-02
  5.3452E-03  2.3723E-01  5.4755E-02
  5.3452E-03  2.3723E-01  5.4755E-02
  5.3452E-03  2.3723E-01  5.4755E-02
  5.3452E-03  2.3723E-01  5.4755E-02
 -3.6587E-03  2.8243E-01 -1.8901E-01
 -3.6587E-03  2.8243E-01 -1.8901E-01
 -3.6587E-03  2.8243E-01 -1.8901E-01
 -3.6587E-03  2.8243E-01 -1.8901E-01
 -3.6587E-03  2.8243E-01 -1.8901E-01
 -3.6587E-03  2.8243E-01 -1.8901E-01
 -3.6587E-03  2.8243E-01 -1.8901E-01
  1.6905E-02 -4.9178E-02  1.7862E-01
  1.6905E-02 -4.9178E-02  1.7862E-01
  1.6905E-02 -4.9178E-02  1.7862E-01
  1.6905E-02 -4.9178E-02  1.7862E-01
  1.6905E-02 -4.9178E-02  1.7862E-01
  1.6905E-02 -4.9178E-02  1.7862E-01
  1.4575E-02 -5.3508E-01  1.2932E-01
  1.4575E-02 -5.3508E-01  1.2932E-01
  1.4575E-02 -5.3508E-01  1.2932E-01
  1.4575E-02 -5.3508E-01  1.2932E-01
  1.4575E-02 -5.3508E-01  1.2932E-01
  1.4575E-02 -5.3508E-01  1.2932E-01
  1.6716E-03 -3.0305E-01 -5.6832E-02
  1.6716E-03 -3.0305E-01 -5.6832E-02
  1.6716E-03 -3.0305E-01 -5.6832E-02
  1.6716E-03 -3.0305E-01 -5.6832E-02
  1.6716E-03 -3.0305E-01 -5.6832E-02
  1.6716E-03 -3.0305E-01 -5.6832E-02
  1.6716E-03 -3.0305E-01 -5.6832E-02
 -5.1443E-03 -2.7124E-01 -2.1443E-01
 -5.1443E-03 -2.7124E-01 -2.1443E-01
 -5.1443E-03 -2.7124E-01 -2.1443E-01
 -5.1443E-03 -2.7124E-01 -2.1443E-01
 -5.1443E-03 -2.7124E-01 -2.1443E-01
 -5.1443E-03 -2.7124E-01 -2.1443E-01
 -2.3447E-02  4.5066E-02 -1.0029E-01
 -2.3447E-02  4.5066E-02 -1.0029E-01
 -2.3447E-02  4.5066E-02 -1.0029E-01
 -2.3447E-02  4.5066E-02 -1.0029E-01
 -2.3447E-02  4.5066E-02 -1.0029E-01
 -2.6292E-03 -1.3869E-03  2.6778E-01
 -2.6292E-03 -1.3869E-03  2.6778E-01
 -2.6292E-03 -1.3869E-03  2.6778E-01
 -2.6292E-03 -1.3869E-03  2.6778E-01
 -2.6292E-03 -1.3869E-03  2.6778E-01
 -2.6292E-03 -1.3869E-03  2.6778E-01
 -9.0924E-03  3.2050E-01  1.8254E-01
 -9.0924E-03  3.2050E-01  1.8254E-01
 -9.0924E-03  3.2050E-01  1.8254E-01
 -9.0924E-03  3.2050E-01  1.8254E-01
 -9.0924E-03  3.2050E-01  1.8254E-01
 -6.8925E-03  5.9389E-01  1.5082E-01
 -6.8925E-03  5.9389E-01  1.5082E-01
 -6.8925E-03  5.9389E-01  1.5082E-01
 -6.8925E-03  5.9389E-01  1.5082E-01
 -6.8925E-03  5.9389E-01  1.5082E-01
 -6.8925E-03  5.9389E-01  1.5082E-01
  7.3735E-04  3.2030E-01  2.5042E-01
  7.3735E-04  3.2030E-01  2.5042E-01
  7.3735E-04  3.2030E-01  2.5042E-01
  7.3735E-04  3.2030E-01  2.5042E-01
  7.3735E-04  3.2030E-01  2.5042E-01
  7.3735E-04  3.2030E-01  2.5042E-01
  1.4274E-03  3.5182E-02  1.9885E-01
  1.4274E-03  3.5182E-02  1.9885E-01
  1.4274E-03  3.5182E-02  1.9885E-01
  1.4274E-03  3.5182E-02  1.9885E-01
  1.4274E-03  3.5182E-02  1.9885E-01
  1.4274E-03  3.5182E-02  1.9885E-01
 -5.8545E-03  5.1870E-01  9.5655E-02
 -5.8545E-03  5.1870E-01  9.5655E-02
 -5.8545E-03  5.1870E-01  9.5655E-02
 -5.8545E-03  5.1870E-01  9.5655E-02
 -5.8545E-03  5.1870E-01  9.5655E-02
 -5.8545E-03  5.1870E-01  9.5655E-02
 -1.7367E-02 -1.7792E-01  8.4752E-02
 -1.7367E-02 -1.7792E-01  8.4752E-02
 -1.7367E-02 -1.7792E-01  8.4752E-02
 -1.7367E-02 -1.7792E-01  8.4752E-02
 -1.7367E-02 -1.7792E-01  8.4752E-02
 -1.7367E-02 -1.7792E-01  8.4752E-02
 -1.7367E-02 -1.7792E-01  8.4752E-02
 -1.7367E-02 -1.7792E-01  8.4752E-02
 -1.7367E-02 -1.7792E-01  8.4752E-02
 -4.3343E-02  3.2015E-01  2.9468E-02
 -4.3343E-02  3.2015E-01  2.9468E-02
 -4.3343E-02  3.2015E-01  2.9468E-02
 -4.3343E-02  3.2015E-01  2.9468E-02
 -4.3343E-02  3.2015E-01  2.9468E-02
 -4.3343E-02  3.2015E-01  2.9468E-02
 -4.3343E-02  3.2015E-01  2.9468E-02
 -4.3343E-02  3.2015E-01  2.9468E-02
 -4.3343E-02  3.2015E-01  2.9468E-02
 -4.1787E-03  5.4676E-02 -5.7099E-02
 -4.1787E-03  5.4676E-02 -5.7099E-02
 -4.1787E-03  5.4676E-02 -5.7099E-02
 -4.1787E-03  5.4676E-02 -5.7099E-02
 -4.1787E-03  5.4676E-02 -5.7099E-02
 -4.1787E-03  5.4676E-02 -5.7099E-02
 -4.1787E-03  5.4676E-02 -5.7099E-02
 -4.1787E-03  5.4676E-02 -5.7099E-02
 -4.1787E-03  5.4676E-02 -5.7099E-02
 -5.8571E-03 -3.5546E-02  1.7465E-01
 -5.8571E-03 -3.5546E-02  1.7465E-01
 -5.8571E-03 -3.5546E-02  1.7465E-01
 -5.8571E-03 -3.5546E-02  1.7465E-01
 -5.8571E-03 -3.5546E-02  1.7465E-01
 -5.8571E-03 -3.5546E-02  1.7465E-01
 -5.8571E-03 -3.5546E-02  1.7465E-01
 -5.8571E-03 -3.5546E-02  1.7465E-01
 -5.8571E-03 -3.5546E-02  1.7465E-01
  8.5841E-03 -1.1289E-01 -2.1508E-01
  8.5841E-03 -1.1289E-01 -2.1508E-01
  8.5841E-03 -1.1289E-01 -2.1508E-01
  8.5841E-03 -1.1289E-01 -2.1508E-01
  8.5841E-03 -1.1289E-01 -2.1508E-01
  8.5841E-03 -1.1289E-01 -2.1508E-01
  8.5841E-03 -1.1289E-01 -2.1508E-01
  8.5841E-03 -1.1289E-01 -2.1508E-01
  8.5841E-03 -1.1289E-01 -2.1508E-01
  8.5841E-03 -1.1289E-01 -2.1508E-01
  1.8452E-02 -4.9333E-01 -1.9505E-02
  1.8452E-02 -4.9333E-01 -1.9505E-02
  1.8452E-02 -4.9333E-01 -1.9505E-02
  1.8452E-02 -4.9333E-01 -1.9505E-02
  1.8452E-02 -4.9333E-01 -1.9505E-02
  1.8452E-02 -4.9333E-01 -1.9505E-02
  1.8452E-02 -4.9333E-01 -1.9505E-02
  1.8452E-02 -4.9333E-01 -1.9505E-02
 -4.0348E-02  1.9318E-01 -8.5735E-01
 -4.0348E-02  1.9318E-01 -8.5735E-01
 -4.0348E-02  1.9318E-01 -8.5735E-01
 -4.0348E-02  1.9318E-01 -8.5735E-01
 -4.0348E-02  1.9318E-01 -8.5735E-01
 -4.0348E-02  1.9318E-01 -8.5735E-01
 -4.0348E-02  1.9318E-01 -8.5735E-01
 -4.0348E-02  1.9318E-01 -8.5735E-01
 -4.0348E-02  1.9318E-01 -8.5735E-01
 -4.0348E-02  1.9318E-01 -8.5735E-01
  3.2415E-02  2.4477E-01 -6.4720E-03
  3.2415E-02  2.4477E-01 -6.4720E-03
  3.2415E-02  2.4477E-01 -6.4720E-03
  3.2415E-02  2.4477E-01 -6.4720E-03
  3.2415E-02  2.4477E-01 -6.4720E-03
  3.2415E-02  2.4477E-01 -6.4720E-03
  3.2415E-02  2.4477E-01 -6.4720E-03
  3.2415E-02  2.4477E-01 -6.4720E-03
  3.2415E-02  2.4477E-01 -6.4720E-03
 -8.4212E-03 -2.1922E-01 -9.7510E-02
 -8.4212E-03 -2.1922E-01 -9.7510E-02
 -8.4212E-03 -2.1922E-01 -9.7510E-02
 -8.4212E-03 -2.1922E-01 -9.7510E-02
 -8.4212E-03 -2.1922E-01 -9.7510E-02
 -8.4212E-03 -2.1922E-01 -9.7510E-02
 -8.4212E-03 -2.1922E-01 -9.7510E-02
 -8.4212E-03 -2.1922E-01 -9.7510E-02
 -8.4212E-03 -2.1922E-01 -9.7510E-02
 -1.8412E-02 -1.0456E-01 -2.0123E-02
 -1.8412E-02 -1.0456E-01 -2.0123E-02
 -1.8412E-02 -1.0456E-01 -2.0123E-02
 -1.8412E-02 -1.0456E-01 -2.0123E-02
 -1.8412E-02 -1.0456E-01 -2.0123E-02
 -1.8412E-02 -1.0456E-01 -2.0123E-02
 -1.8412E-02 -1.0456E-01 -2.0123E-02
 -1.8412E-02 -1.0456E-01 -2.0123E-02
 -1.8412E-02 -1.0456E-01 -2.0123E-02
 -1.8412E-02 -1.0456E-01 -2.0123E-02
 -1.0741E-02  3.0292E-01 -5.5802E-01
 -1.0741E-02  3.0292E-01 -5.5802E-01
 -1.0741E-02  3.0292E-01 -5.5802E-01
 -1.0741E-02  3.0292E-01 -5.5802E-01
 -1.0741E-02  3.0292E-01 -5.5802E-01
 -1.0741E-02  3.0292E-01 -5.5802E-01
 -1.0741E-02  3.0292E-01 -5.5802E-01
 -1.0741E-02  3.0292E-01 -5.5802E-01
 -1.0741E-02  3.0292E-01 -5.5802E-01
 -1.0741E-02  3.0292E-01 -5.5802E-01
 -4.0096E-03  6.3384E-02 -5.6985E-01
 -4.0096E-03  6.3384E-02 -5.6985E-01
 -4.0096E-03  6.3384E-02 -5.6985E-01
 -4.0096E-03  6.3384E-02 -5.6985E-01
